Agent_Type,Depth,Avg_Nodes,Avg_Time
AlphaBetaAgent,3,71.75,0.0005377556966698688
AlphaBetaAgent,5,606.6777777777778,0.00442512035369873
AlphaBetaAgent,7,2665.588888888889,0.01767005655500624
AlphaBetaAgent,9,4542.071428571428,0.02158420994168236
ExpectimaxAgent,3,232.75,0.0017183482646942138
ExpectimaxAgent,5,5330.585365853659,0.03923424278817526
ExpectimaxAgent,7,55780.12195121951,0.37152764273852834
ExpectimaxAgent,9,164020.9411764706,0.7564919415642234
MinimaxAgent,3,79749.42857142857,0.3578146897353135
MinimaxAgent,5,84143.06849315068,0.37698796677262814
MinimaxAgent,7,82993.02702702703,0.383684744706025
MinimaxAgent,9,84697.3698630137,0.38210200936826944
RandomAgent,3,1.0,4.283497842510094e-06
RandomAgent,5,1.0,5.077748071579706e-06
RandomAgent,7,1.0,6.0361974379595586e-06
RandomAgent,9,1.0,6.2123150892660655e-06
